datetime	reltime	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	asin	angle	angle_rad	error	integral	derivative	Kp	Ki	Kd	dt	diff_speed	Motor0	Motor1
2014-03-22_17:04:27_059254	2396186.0	-125.0	-9.0	-200.0	-4.501526717557253	-0.9118320610687021	-1.6318702290076335	-0.636376953125	0.04443359375	-0.6787109375	0.0	32.01	0.0	12.721479308801017	0.22201534570333364	-12.721479308801017	-7810.469784335888	-0.9118320610687021	0.005	0	0.0	50.4951171875	-0.06360739654400509	228	234
2014-03-22_17:04:27_108700	2445600.0	-134.0	-47.0	-189.0	-2.310687022900764	-0.4003816793893127	-1.69293893129771	-0.76357421875	-0.06640625	-0.862060546875	0.0	35.34	0.0	13.193132663955387	0.23024664335000677	-13.193132663955387	-8459.481079776242	-0.4003816793893127	0.005	0	0.0	49.193115234375	-0.06596566331977693	228	234
2014-03-22_17:04:27_160408	2497299.0	-219.0	10.0	-219.0	-1.9137404580152677	-0.16374045801526682	-1.8608778625954199	-0.865380859375	-0.09375	-0.78759765625	0.0	45.0	0.0	13.83757270681239	0.24149341547665604	-13.83757270681239	-9169.737741368097	-0.16374045801526682	0.005	0	0.0	51.328125	-0.06918786353406195	227	234
2014-03-22_17:04:27_208871	2545761.0	-146.0	-25.0	-184.0	0.674045801526717	-0.7133587786259539	-1.624236641221374	-0.83681640625	-0.040771484375	-0.595947265625	0.0	38.43	0.0	14.363733669994028	0.2506759802791279	-14.363733669994028	-9873.059222956885	-0.7133587786259539	0.005	0	0.0	48.965087890625	-0.07181866834997014	227	235
2014-03-22_17:04:27_259965	2596862.0	-199.0	32.0	-190.0	-1.2954198473282452	-2.125572519083969	-2.173854961832061	-0.82802734375	-0.013916015625	-0.60400390625	0.0	46.33	0.0	15.108008570304973	0.2636650710349908	-15.108008570304973	-10634.412856021077	-2.125572519083969	0.005	0	0.0	50.39404296875	-0.07554004285152487	227	235
2014-03-22_17:04:27_309170	2646061.0	-135.0	-32.0	-191.0	-4.188549618320611	-0.5530534351145036	-3.18912213740458	-0.77333984375	-0.04443359375	-0.71337890625	0.0	35.26	0.0	15.537769819594391	0.27116526735766827	-15.537769819594391	-11403.035526581632	-0.5530534351145036	0.005	0	0.0	49.468017578125	-0.07768884909797195	227	235
2014-03-22_17:04:27_360853	2697746.0	-214.0	7.0	-175.0	-6.272519083969465	-0.43854961832061035	-3.708206106870229	-0.81484375	-0.048583984375	-0.524658203125	0.0	50.73	0.0	16.263267742247088	0.28382666216836105	-16.263267742247088	-12223.2426238929	-0.43854961832061035	0.005	0	0.0	50.43310546875	-0.08131633871123543	226	236
2014-03-22_17:04:27_410297	2747188.0	-175.0	22.0	-200.0	-4.341221374045801	1.9889312977099238	-4.494465648854962	-0.852197265625	-0.074951171875	-0.716552734375	0.0	41.19	0.0	16.6651015006331	0.29083946772483593	-16.6651015006331	-13049.849560288805	1.9889312977099238	0.005	0	0.0	49.60107421875	-0.0833255075031655	226	236
2014-03-22_17:04:27_461172	2798066.0	-183.0	1.0	-202.0	-2.241984732824428	0.8896946564885497	-3.792175572519084	-0.797509765625	0.0126953125	-0.813720703125	0.0	42.18	0.0	17.1314650588142	0.2989784477978046	-17.1314650588142	-13912.232287098337	0.8896946564885497	0.005	0	0.0	50.339111328125	-0.085657325294071	226	236
2014-03-22_17:04:27_509874	2846762.0	-180.0	-5.0	-205.0	-3.9290076335877866	-0.5225190839694653	-3.8685114503816793	-0.736962890625	0.114990234375	-0.891845703125	0.0	41.29	0.0	17.6399163201435	0.30785194275992145	-17.6399163201435	-14784.654486411255	-0.5225190839694653	0.005	0	0.0	49.457275390625	-0.08819958160071749	225	237
2014-03-22_17:04:27_561351	2898242.0	-174.0	12.0	-167.0	-0.27251908396946645	4.3095419847328245	-1.9448473282442746	-0.689599609375	0.15185546875	-0.93310546875	0.0	46.18	0.0	17.99787829739354	0.31409909768575117	-17.99787829739354	-15691.622762623414	4.3095419847328245	0.005	0	0.0	50.39306640625	-0.0899893914869677	225	237
2014-03-22_17:04:27_610664	2947556.0	-145.0	-40.0	-218.0	-0.5702290076335887	3.9354961832061073	-0.5937022900763359	-0.6244140625	0.1640625	-0.85498046875	0.0	33.63	0.0	18.118292794444148	0.3162005723288682	-18.118292794444148	-16594.839121436293	3.9354961832061073	0.005	0	0.0	49.85107421875	-0.09059146397222075	225	237
2014-03-22_17:04:27_661038	2997935.0	-222.0	16.0	-163.0	0.13969465648854884	8.569083969465648	1.2536259541984731	-0.64736328125	-0.163330078125	-0.846435546875	0.0	53.72	0.0	18.41013943345252	0.32129388191016617	-18.41013943345252	-17515.858484684948	8.569083969465648	0.005	0	0.0	50.02783203125	-0.09205069716726261	224	238
2014-03-22_17:04:27_710822	3047714.0	-160.0	-38.0	-207.0	1.674045801526717	9.820992366412213	3.2459923664122137	-0.698876953125	-0.06640625	-0.884033203125	0.0	37.7	0.0	18.312110745521053	0.31958308456406725	-18.312110745521053	-18436.591949457365	9.820992366412213	0.005	0	0.0	50.280029296875	-0.09156055372760527	224	238
2014-03-22_17:04:27_761623	3098554.0	-167.0	18.0	-184.0	1.3458015267175565	14.599618320610686	2.4597328244274808	-0.72841796875	-0.024658203125	-0.65185546875	0.0	42.23	0.0	18.076192911487446	0.31546584487761686	-18.076192911487446	-19339.0114581257	14.599618320610686	0.005	0	0.0	49.923095703125	-0.09038096455743723	224	238
2014-03-22_17:04:27_811462	3148357.0	-180.0	-11.0	-199.0	1.0175572519083964	19.599618320610688	1.0475190839694655	-0.7279296875	0.013671875	-0.554931640625	0.0	42.13	0.0	17.593860630558115	0.30704817854377164	-17.593860630558115	-20221.53514252361	19.599618320610688	0.005	0	0.0	50.160888671875	-0.08796930315279058	223	239
2014-03-22_17:04:27_861465	3198356.0	-176.0	17.0	-191.0	-0.5320610687022911	23.912595419847328	-2.5326335877862594	-0.694482421875	0.140625	-0.55908203125	0.0	42.66	0.0	16.92546458993529	0.2953833261768812	-16.92546458993529	-21066.40342622922	23.912595419847328	0.005	0	0.0	49.9169921875	-0.08462732294967645	223	239
2014-03-22_17:04:27_911713	3248608.0	-154.0	-8.0	-195.0	-0.318320610687024	29.39351145038168	-2.7158396946564887	-0.763330078125	0.1162109375	-0.911865234375	0.0	38.3	0.0	15.905093034169075	0.2775757946626366	-15.905093034169075	-21865.871219036813	29.39351145038168	0.005	0	0.0	50.264892578125	-0.07952546517084538	223	239
2014-03-22_17:04:27_961326	3298214.0	-125.0	-35.0	-233.0	1.1396946564885488	34.95839694656488	-0.09751908396946574	-0.87587890625	0.10595703125	-1.120849609375	0.0	28.21	0.0	14.441403240386924	0.25203147016382066	-14.441403240386924	-22586.64391123378	34.95839694656488	0.005	0	0.0	49.91015625	-0.07220701620193462	222	239
