datetime	reltime	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	angle	error	integral	derivative	Kp	Ki	Kd	target_angleRate2	error2	integral2	derivative2	Kp2	Ki2	Kd2	pitch_offset_force	dt	Motor0	Motor1
2014-04-20_16:51:34_745408	1885132.0	-205.0	-94.0	-162.0	1.1673664122137404	-0.7692748091603052	2.8673664122137406	-0.6305468750000001	-0.6984765625	-1.1884765625	0.0	51.69	33.94130709303614	-33.94130709303614	-16210.611956983117	-0.7692748091603052	0.5	0	0.0	-16.97065354651807	-16.201378737357764	24531.0247595586	9.746282952043746	0.0005	0	0.0	-0.008100689368678882	49.940185546875	242	241
2014-04-20_16:51:34_795974	1935765.0	-153.0	-66.0	-221.0	3.365839694656488	-6.975381679389313	4.287213740458015	-0.7191699218750001	-0.600087890625	-0.6923828125	0.0	34.7	34.30290513655941	-34.30290513655941	-17949.22321483468	-6.975381679389313	0.5	0	0.0	-17.151452568279705	-10.176070888890392	24015.259947870265	6.0253078484673726	0.0005	0	0.0	-0.005088035444445196	50.68408203125	242	241
2014-04-20_16:51:34_846134	1985852.0	-181.0	27.0	-183.0	0.39637404580152635	-12.051717557251909	4.9131679389312986	-0.5868457031250001	-0.289052734375	-0.83154296875	0.0	44.69	35.09425071153613	-35.09425071153613	-19683.432688411314	-12.051717557251909	0.5	0	0.0	-17.547125355768063	-5.495407798516155	23743.70013188534	4.680663090374237	0.0005	0	0.0	-0.0027477038992580775	49.415771484375	242	241
2014-04-20_16:51:34_896551	2036271.0	-176.0	-39.0	-201.0	1.5719465648854958	11.933015267175573	-0.888358778625954	-0.8170703125000001	0.226083984375	-0.72021484375	0.0	41.21	34.631947707642574	-34.631947707642574	-21414.683416113752	11.933015267175573	0.5	0	0.0	-17.315973853821287	-29.24898912099686	22281.543451361365	-23.753581322480706	0.0005	0	0.0	-0.01462449456049843	49.989990234375	242	241
2014-04-20_16:51:34_946661	2086375.0	-164.0	-43.0	-230.0	0.16736641221373993	-1.5326335877862594	1.661259541984733	-0.8253710937500001	0.85279296875	-0.5087890625	0.0	35.49	34.72450445169301	-34.72450445169301	-23156.31738719454	-1.5326335877862594	0.5	0	0.0	-17.362252225846504	-15.829618638060245	21487.596870852132	13.419370482936616	0.0005	0	0.0	-0.007914809319030122	50.15576171875	242	241
2014-04-20_16:51:34_996228	2136007.0	-173.0	-57.0	-173.0	-1.1456106870229013	-6.128053435114504	-2.5830152671755724	-0.8573535156250001	0.369638671875	-0.7373046875	0.0	45.0	35.229660304704495	-35.229660304704495	-24913.723532560518	-6.128053435114504	0.5	0	0.0	-17.614830152352248	-11.486776717237744	20914.587315303714	4.342841920822501	0.0005	0	0.0	-0.005743388358618872	49.88427734375	242	241
2014-04-20_16:51:35_046651	2186372.0	-143.0	-6.0	-235.0	-3.191412213740458	-0.37232824427480904	-0.0257633587786259	-0.7008593750000001	0.83912109375	-0.687255859375	0.0	31.32	35.16978342416079	-35.16978342416079	-26672.882440855246	-0.37232824427480904	0.5	0	0.0	-17.584891712080395	-17.212563467805587	20053.63136360521	-5.725786750567844	0.0005	0	0.0	-0.008606281733902793	50.01904296875	242	241
2014-04-20_16:51:35_096933	2236687.0	-165.0	84.0	-156.0	0.35057251908396925	-2.998282442748091	-2.0486641221374047	-0.7911914062500001	0.058359375	-0.91259765625	0.0	46.61	35.545656592431854	-35.545656592431854	-28452.15256426582	-2.998282442748091	0.5	0	0.0	-17.772828296215927	-14.774545853467835	19314.078052621164	2.4380176143377525	0.0005	0	0.0	-0.007387272926733917	50.055908203125	242	241
2014-04-20_16:51:35_147073	2286791.0	-157.0	33.0	-169.0	4.533778625954199	0.925381679389313	4.1421755725190845	-0.7015917968750001	0.69703125	-0.62060546875	0.0	42.9	35.64738451120296	-35.64738451120296	-30231.24076835118	0.925381679389313	0.5	0	0.0	-17.82369225560148	-18.749073934990793	18378.35003967863	-3.9745280815229584	0.0005	0	0.0	-0.009374536967495397	49.907958984375	242	241
2014-04-20_16:51:35_197486	2337206.0	-153.0	23.0	-193.0	0.5185114503816792	-0.4410305343511449	-0.8272900763358778	-0.9818652343750001	0.010263671875	-0.57568359375	0.0	38.41	35.72425337758812	-35.72425337758812	-32020.741533793906	-0.4410305343511449	0.5	0	0.0	-17.86212668879406	-17.421096154442914	17505.691776573127	1.3279777805478794	0.0005	0	0.0	-0.008710548077221457	50.092041015625	242	241
