datetime	reltime	speed	x	y	z	d	error	integral	derivative	dt	diff_speed
2014-01-12_15:45:12_193383	1305026.890625	19.49	-23.0	111.0	-231.0	0.0	110.33333333333333	1025532.1551920576	-1.256090918661119	17.780029296875	-1.234802263775865
2014-01-12_15:45:12_211657	1306854.296875	19.14	11.0	73.0	-283.0	0.0	103.66666666666667	1027404.2800292972	-0.36915866792843893	18.05908203125	-0.3485179584614793
2014-01-12_15:45:12_229573	1308646.390625	19.22	13.0	130.0	-327.0	0.0	104.66666666666667	1029301.3633626306	0.05517241379310345	18.125	0.07593209409339642
2014-01-12_15:45:12_247914	1310480.09375	19.81	-116.0	142.0	-44.0	0.0	115.0	1031357.8868001306	0.5778360273773115	17.8828125	0.5996496062453128
2014-01-12_15:45:12_266508	1312339.78125	21.05	10.0	140.0	-321.0	0.0	137.33333333333334	1033896.7764485681	1.2080521550035441	18.487060546875	1.2321244561013631
2014-01-12_15:45:12_284803	1314169.375	22.0	82.0	189.0	-256.0	0.0	157.0	1036776.4768880212	1.072218007249752	18.342041015625	1.0982857720186323
2014-01-12_15:45:12_302800	1315968.890625	21.13	124.0	93.0	-189.0	0.0	140.66666666666666	1039343.6435546878	-0.8949771689497722	18.25	-0.8705170658475586
2014-01-12_15:45:12_321041	1317792.203125	21.14	57.0	139.0	-299.0	0.0	140.33333333333334	1041860.6671549482	-0.01858456065844412	17.93603515625	0.0058673793464387
2014-01-12_15:45:12_339147	1319602.984375	20.17	-2.0	135.0	-269.0	0.0	122.33333333333333	1044090.3534342451	-0.9875828812537681	18.226318359375	-0.9649086443860924
2014-01-12_15:45:12_357050	1321396.484375	22.0	2.0	235.0	-275.0	0.0	169.66666666666666	1047146.7559407555	2.6275625909160722	18.01416015625	2.6550007251421466
2014-01-12_15:45:12_375058	1323202.171875	21.65	-30.0	119.0	-293.0	0.0	163.0	1050060.3809407554	-0.37296037296037243	17.875	-0.34615976915096486
2014-01-12_15:45:12_393243	1325013.078125	20.92	38.0	94.0	-320.0	0.0	149.33333333333334	1052746.3028157554	-0.7598467058498816	17.986083984375	-0.7343859094883907
2014-01-12_15:45:12_411653	1326854.171875	18.15	12.0	84.0	-173.0	0.0	99.0	1054533.6443684897	-2.787939435737243	18.053955078125	-2.767494099293558
2014-01-12_15:45:12_429752	1328663.671875	18.65	43.0	145.0	-329.0	0.0	107.66666666666667	1056508.9176432292	0.472395958090473	18.34619140625	0.49372771393357195
2014-01-12_15:45:12_448289	1330517.390625	19.67	-10.0	149.0	-334.0	0.0	126.0	1058806.6642252605	1.0053327978222546	18.236083984375	1.0285208644645072
2014-01-12_15:45:12_466057	1332294.578125	19.59	-38.0	78.0	-69.0	0.0	124.0	1061082.4396158855	-0.10897384734083593	18.35302734375	-0.08596302294467707
2014-01-12_15:45:12_484161	1334104.796875	19.33	52.0	130.0	-247.0	0.0	119.0	1063193.6146647136	-0.28183356957078176	17.740966796875	-0.25930163342413465
2014-01-12_15:45:12_502216	1335910.578125	17.87	47.0	69.0	-243.0	0.0	92.33333333333333	1064861.7912597656	-1.475996144248354	18.06689453125	-1.456114193002423
2014-01-12_15:45:12_520340	1337722.390625	18.1	-79.0	89.0	-112.0	0.0	96.0	1066584.7287597656	0.20430224543838674	17.947265625	0.22456809272598438
2014-01-12_15:45:12_538409	1339529.390625	19.17	-80.0	187.0	-266.0	0.0	115.0	1068664.4992675781	1.0505966844862034	18.0849609375	1.072783329478879
2014-01-12_15:45:12_556556	1341350.984375	20.01	87.0	113.0	-306.0	0.0	129.66666666666666	1070996.4415690105	0.8155338048500146	17.984130859375	0.8392104359323713
2014-01-12_15:45:12_574533	1343142.203125	19.63	79.0	67.0	-153.0	0.0	122.33333333333333	1073217.436686198	-0.4039230452010827	18.1552734375	-0.38095753750088734
2014-01-12_15:45:12_592009	1344889.40625	17.88	99.0	92.0	-321.0	0.0	90.66666666666667	1074837.1072591147	-1.7726512780564243	17.864013671875	-1.7528362403171664
2014-01-12_15:45:12_609353	1346623.671875	18.18	5.0	128.0	-263.0	0.0	95.66666666666667	1076504.0101725261	0.2869593240762796	17.424072265625	0.3072910308446715
2014-01-12_15:45:12_628131	1348501.390625	19.75	45.0	147.0	-290.0	0.0	122.33333333333333	1078622.0852050781	1.5401825582597737	17.31396484375	1.5632021124451578
2014-01-12_15:45:12_645647	1350253.078125	19.79	32.0	93.0	-326.0	0.0	122.66666666666667	1080923.4628092449	0.017767136003609456	18.76123046875	0.04084303729836857
2014-01-12_15:45:12_663388	1352026.796875	20.23	-12.0	150.0	-285.0	0.0	130.0	1083193.6385904949	0.4199381128136298	17.462890625	0.4437700491995348
2014-01-12_15:45:12_680938	1353782.390625	19.61	76.0	113.0	-336.0	0.0	118.66666666666667	1085287.0506998699	-0.6424386688440493	17.64111328125	-0.619719131670384
2014-01-12_15:45:12_702051	1355893.390625	18.95	-15.0	56.0	-259.0	0.0	106.33333333333333	1087207.0994466147	-0.6830266401662143	18.056884765625	-0.6615212358384148
2014-01-12_15:45:12_719605	1357648.890625	18.05	66.0	94.0	-221.0	0.0	87.66666666666667	1088992.6228841147	-0.916506840557473	20.3671875	-0.8968502476619652
2014-01-12_15:45:12_737366	1359424.78125	18.77	-12.0	150.0	-125.0	0.0	100.0	1090763.1062825522	0.6966082451955117	17.704833984375	0.7175158762583372
2014-01-12_15:45:12_755001	1361188.1875	19.44	54.0	90.0	-361.0	0.0	111.33333333333333	1092717.0117187502	0.6457721824209962	17.550048828125	0.667832685871517
2014-01-12_15:45:12_772451	1362942.09375	19.02	-38.0	71.0	-92.0	0.0	103.66666666666667	1094545.376871745	-0.43469313363140916	17.636962890625	-0.41338101319602505
2014-01-12_15:45:12_792754	1364982.296875	19.72	-27.0	186.0	-276.0	0.0	115.66666666666667	1096609.2192382815	0.6725319833071082	17.843017578125	0.6950647421661577
2014-01-12_15:45:12_810896	1366778.6875	19.16	1.0	55.0	-325.0	0.0	104.0	1098694.1196289065	-0.5819622552661172	20.047119140625	-0.5605753140698282
2014-01-12_15:45:12_829373	1368713.0	21.15	-31.0	176.0	-330.0	0.0	139.0	1101169.2766113284	1.965531897390899	17.806884765625	1.9904435901570123
2014-01-12_15:45:12_848806	1370569.296875	18.84	-69.0	48.0	-92.0	0.0	93.0	1103001.7580566409	-2.3345393269564356	19.7041015625	-2.3142093093758693
