datetime	x	y	z	d	speed	speed_real
2013-12-28_12:44:34_639979	-285.0	135.0	84.0	14.76	16.5	282
2013-12-28_12:44:34_649747	-327.0	218.0	365.0	12.07	16.6	283
2013-12-28_12:44:34_659521	-357.0	26.0	-242.0	13.26	16.7	283
2013-12-28_12:44:34_669304	273.0	-1.0	-512.0	13.61	16.8	283
2013-12-28_12:44:34_679295	287.0	353.0	-512.0	14.67	16.9	284
2013-12-28_12:44:34_689188	249.0	257.0	-257.0	15.27	17.0	284
2013-12-28_12:44:34_699149	-128.0	262.0	78.0	16.39	17.1	284
2013-12-28_12:44:34_709074	-341.0	52.0	511.0	15.33	17.2	285
2013-12-28_12:44:34_718885	-120.0	-17.0	-85.0	12.41	17.3	285
2013-12-28_12:44:34_728685	318.0	42.0	-467.0	13.4	17.4	286
2013-12-28_12:44:34_738501	76.0	277.0	-512.0	13.99	17.5	286
2013-12-28_12:44:34_748284	385.0	222.0	-512.0	13.26	17.6	286
2013-12-28_12:44:34_758056	12.0	296.0	-235.0	14.01	17.7	287
2013-12-28_12:44:34_767955	73.0	250.0	277.0	14.84	17.8	287
2013-12-28_12:44:34_777849	-512.0	83.0	335.0	14.69	17.9	288
2013-12-28_12:44:34_787797	-206.0	34.0	389.0	16.2	18.0	288
2013-12-28_12:44:34_797610	-85.0	52.0	-340.0	13.82	18.1	288
2013-12-28_12:44:34_807579	336.0	191.0	-512.0	16.01	18.2	289
2013-12-28_12:44:34_817358	292.0	210.0	-512.0	12.97	18.3	289
2013-12-28_12:44:34_827099	446.0	223.0	-512.0	14.04	18.4	289
2013-12-28_12:44:34_836795	-23.0	141.0	-313.0	13.16	18.5	290
2013-12-28_12:44:34_846717	29.0	163.0	68.0	15.52	18.6	290
2013-12-28_12:44:34_856472	44.0	153.0	440.0	12.8	18.7	291
2013-12-28_12:44:34_866308	-356.0	117.0	275.0	14.4	18.8	291
2013-12-28_12:44:34_876228	-216.0	112.0	325.0	15.77	18.9	291
2013-12-28_12:44:34_886057	-108.0	211.0	-56.0	14.33	19.0	292
2013-12-28_12:44:34_895845	-261.0	167.0	-336.0	14.01	19.1	292
2013-12-28_12:44:34_906014	86.0	31.0	-512.0	13.55	19.2	292
2013-12-28_12:44:34_915772	435.0	140.0	-512.0	12.63	19.3	293
2013-12-28_12:44:34_925607	236.0	331.0	-512.0	13.74	19.4	293
2013-12-28_12:44:34_935405	100.0	122.0	-311.0	12.51	19.5	294
2013-12-28_12:44:34_945197	70.0	292.0	-264.0	13.53	19.6	294
2013-12-28_12:44:34_954867	154.0	276.0	101.0	11.71	19.7	294
2013-12-28_12:44:34_964697	64.0	265.0	511.0	14.08	19.8	295
2013-12-28_12:44:34_974561	-356.0	229.0	447.0	13.94	19.9	295
2013-12-28_12:44:34_984453	-417.0	162.0	130.0	14.87	20.0	296
2013-12-28_12:44:34_994325	-179.0	22.0	157.0	14.02	20.1	296
2013-12-28_12:44:35_004215	-23.0	176.0	-180.0	14.53	20.2	296
2013-12-28_12:44:35_014118	-142.0	200.0	-449.0	13.27	20.3	297
2013-12-28_12:44:35_023971	-47.0	229.0	-409.0	14.19	20.4	297
2013-12-28_12:44:35_033799	202.0	75.0	-512.0	13.55	20.5	297
2013-12-28_12:44:35_043688	473.0	41.0	-512.0	14.16	20.6	298
2013-12-28_12:44:35_053463	473.0	99.0	-512.0	12.87	20.7	298
2013-12-28_12:44:35_063423	290.0	167.0	-512.0	14.98	20.8	299
2013-12-28_12:44:35_073310	224.0	149.0	-512.0	15.69	20.9	299
2013-12-28_12:44:35_082979	-7.0	144.0	-250.0	12.39	21.0	299
2013-12-28_12:44:35_092705	-103.0	155.0	-53.0	12.07	21.1	300
2013-12-28_12:44:35_102399	147.0	214.0	119.0	11.88	21.2	300
2013-12-28_12:44:35_112233	175.0	272.0	440.0	12.77	21.3	300
2013-12-28_12:44:35_121997	205.0	266.0	511.0	12.5	21.4	301
2013-12-28_12:44:35_131820	-21.0	128.0	511.0	14.33	21.5	301
2013-12-28_12:44:35_141572	-412.0	302.0	364.0	12.63	21.6	302
2013-12-28_12:44:35_151385	-512.0	205.0	162.0	12.95	21.7	302
2013-12-28_12:44:35_161094	390.0	-17.0	-512.0	13.8	21.8	302
2013-12-28_12:44:35_171018	238.0	130.0	-512.0	13.4	21.9	303
2013-12-28_12:44:35_180775	65.0	197.0	-506.0	12.68	22.0	303
2013-12-28_12:44:35_190497	-80.0	133.0	-184.0	12.24	22.1	303
2013-12-28_12:44:35_200233	-37.0	115.0	-172.0	11.8	22.2	304
2013-12-28_12:44:35_209997	29.0	199.0	-82.0	12.95	22.3	304
2013-12-28_12:44:35_219854	40.0	125.0	14.0	14.38	22.4	305
2013-12-28_12:44:35_229648	140.0	186.0	291.0	13.27	22.5	305
2013-12-28_12:44:35_239366	204.0	195.0	462.0	11.66	22.6	305
2013-12-28_12:44:35_249161	337.0	187.0	511.0	13.09	22.7	306
2013-12-28_12:44:35_259545	340.0	264.0	511.0	20.76	22.8	306
2013-12-28_12:44:35_269311	363.0	236.0	511.0	12.7	22.9	307
2013-12-28_12:44:35_279208	186.0	246.0	511.0	12.68	23.0	307
2013-12-28_12:44:35_288951	71.0	145.0	511.0	12.51	23.1	307
2013-12-28_12:44:35_298648	-263.0	380.0	511.0	12.07	23.2	308
