datetime	reltime	speed	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	angle	avgy	error	integral	derivative	Kp	Ki	Kd	dt	diff_speed
2014-02-01_22:41:52_006648	465354.890625	25.0	130.0	46.0	-211.0	-15.366412213740459	53.030534351145036	-13.320610687022901	-0.079833984375	-0.09912109375	0.777099609375	0.0	-6.15	-3.5369286453963333	-0.12340993180029076	3.5369286453963333	6.165803015489506	197.92722444787475	0.1	0.01	5	0.03656884765625	990.0514731340683
2014-02-01_22:41:52_043434	469032.78125	25.0	189.0	129.0	-154.0	-24.068702290076335	56.31297709923664	-3.3587786259541983	0.050537109375	0.19775390625	1.99853515625	0.0	-19.98	-11.829518784068373	-0.4127536212166215	11.829518784068373	6.598926289914978	226.4882923784802	0.1	0.01	5	0.03661376953125	1133.690403033707
2014-02-01_22:41:52_080204	472709.796875	25.0	-27.0	-241.0	-130.0	22.52671755725191	70.06106870229007	-1.9923664122137406	-0.355224609375	0.50537109375	1.327392578125	0.0	30.84	-15.84717056263166	-0.5529368654093392	15.84717056263166	7.180125913025245	109.54654900743715	0.1	0.01	5	0.03667529296875	549.3892633525792
2014-02-01_22:41:52_116868	476376.890625	25.0	66.0	36.0	-180.0	-2.213740458015267	56.274809160305345	-0.3282442748091603	-0.61865234375	0.21923828125	1.51953125	0.0	-5.66	-21.462503171807278	-0.7488661260225847	21.462503171807278	7.964880124458079	153.57559370740574	0.1	0.01	5	0.03656396484375	770.103867655454
2014-02-01_22:41:52_153653	480058.09375	25.0	77.0	266.0	-112.0	26.19083969465649	26.213740458015266	-2.145038167938931	-0.21337890625	0.405517578125	1.607666015625	0.0	-33.6	-25.76275233769189	-0.8989097117129061	25.76275233769189	8.905767791681631	117.74652608421208	0.1	0.01	5	0.036521240234375	591.3979633327465
2014-02-01_22:41:52_190328	483722.0	25.0	244.0	338.0	-181.0	51.62595419847328	8.618320610687023	-5.282442748091603	-0.566162109375	0.470703125	1.013427734375	0.0	-30.93	-27.302962239048522	-0.9526504619347007	27.302962239048522	9.911551328382206	41.81048032949451	0.1	0.01	5	0.036837890625	211.88181338466123
2014-02-01_22:41:52_227475	487436.984375	10.0	248.0	243.0	-284.0	-11.51908396946565	-26.702290076335878	-0.5038167938931297	-0.127197265625	0.18359375	0.8017578125	0.0	-20.28	-23.462856369306945	-0.8186621203526498	23.462856369306945	10.766794210341834	-105.35001736376029	0.1	0.01	5	0.036450927734375	-524.2961332397674
2014-02-01_22:41:52_264387	491127.390625	10.0	-62.0	-39.0	-105.0	15.32824427480916	2.3282442748091605	-4.641221374045801	-0.1259765625	-0.167236328125	1.9912109375	0.0	10.19	-20.37499628555822	-0.7109210148485072	20.37499628555822	11.520465123970059	-83.47826166439917	0.1	0.01	5	0.036989990234375	-415.23860404220034
2014-02-01_22:41:52_301117	494801.6875	10.0	-71.0	54.0	-103.0	-141.87786259541986	1.8091603053435115	10.541984732824428	-1.4716796875	-2.0	1.99993896484375	0.0	-13.84	-19.935783152706648	-0.6955960625508251	19.935783152706648	12.253085686293794	-11.95169535861412	0.1	0.01	5	0.0367490234375	-57.642367620936994
2014-02-01_22:41:52_337745	498463.671875	10.0	243.0	95.0	-377.0	-122.81679389312977	-12.358778625954198	16.396946564885496	-0.522216796875	1.237060546875	1.64056396484375	0.0	-7.07	-17.192324154341087	-0.5998717429986422	17.192324154341087	12.881860524011753	-75.0132377676371	0.1	0.01	5	0.036572998046875	-373.2181378175112
2014-02-01_22:41:52_374545	502144.09375	25.0	-64.0	78.0	-262.0	-0.030534351145038167	24.259541984732824	2.114503816793893	-0.22802734375	-0.16064453125	-1.654541015625	0.0	-8.29	-19.16237217904958	-0.6686103342306203	19.16237217904958	13.582512826689374	53.87949674295894	0.1	0.01	5	0.03656396484375	271.44954606096655
2014-02-01_22:41:52_411374	505826.375	10.0	162.0	-73.0	-508.0	-100.65648854961832	-14.83969465648855	-0.6946564885496184	-0.332763671875	0.615966796875	1.103271484375	0.0	4.09	-15.08464984869032	-0.5263311182376246	15.08464984869032	14.135002858501025	-111.33415987969288	0.1	0.01	5	0.0366259765625	-555.0209843850104
