datetime	reltime	speed	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	asin	angle	angle_rad	error	integral	derivative	Kp	Ki	Kd	dt	diff_speed
2014-02-01_23:34:57_169071	370309.0	20.1	100.0	161.0	-332.0	-5.641221374045801	-3.145038167938931	2.198473282442748	-0.321044921875	0.1708984375	1.4251708984375	0.0	0.0	-20.05	-9.964372424367646	-0.3476752416038955	9.964372424367646	4.066355265390449	5.603838290128011	0.01	1e-05	0.01	0.06644873046875	0.15572277069761048
2014-02-01_23:34:57_236351	377033.78125	20.02	30.0	122.0	-84.0	-5.198473282442748	-7.488549618320611	3.1603053435114505	-0.110107421875	0.2738037109375	-0.0469970703125	0.0	0.0	-14.61	-8.807970553899521	-0.30732625798672436	8.807970553899521	4.657704259143063	-17.224268124515685	0.01	1e-05	0.01	0.067137939453125	-0.0841163986635702
2014-02-01_23:34:57_303201	383719.0	19.93	147.0	142.0	-309.0	-5.748091603053435	-9.068702290076336	-0.32061068702290074	-0.609619140625	-0.10595703125	1.2567138671875	0.0	0.0	-17.31	-7.695965360272158	-0.26852635590621626	7.695965360272158	5.174233930324162	-16.568173965747746	0.01	1e-05	0.01	0.067116943359375	-0.08867034371545263
2014-02-01_23:34:57_370052	390403.484375	19.61	66.0	65.0	-185.0	-1.5801526717557253	-11.442748091603054	0.9083969465648855	-0.0745849609375	0.3515625	-0.0008544921875	0.0	0.0	-7.54	-5.214614866445928	-0.18194748312791098	5.214614866445928	5.522716864445869	-37.13033238365178	0.01	1e-05	0.01	0.066828125	-0.31910194800341407
2014-02-01_23:34:57_436930	397091.390625	19.03	-55.0	44.0	-36.0	-1.0076335877862594	-18.137404580152673	1.4351145038167938	-0.2506103515625	-0.0775146484375	0.46044921875	0.0	0.0	-5.07	-1.3002142844566396	-0.04536686268166921	1.3002142844566396	5.609428078891852	-58.695516886785605	0.01	1e-05	0.01	0.06668994140625	-0.5738969317425007
2014-02-01_23:34:57_503751	403773.875	18.71	128.0	114.0	-332.0	-5.977099236641221	-15.564885496183207	-1.0381679389312977	-0.38330078125	0.1881103515625	1.4095458984375	0.0	0.0	-13.57	0.8179551389519738	0.02853995599971995	-0.8179551389519738	5.5549056575728475	-31.77715741769745	0.01	1e-05	0.01	0.066656982421875	-0.3258955765099185
2014-02-01_23:34:57_570950	410493.59375	18.34	-32.0	67.0	-26.0	0.8931297709923665	-14.404580152671755	4.083969465648855	0.069091796875	0.4422607421875	-0.2186279296875	0.0	0.0	-7.78	3.061819585245976	0.10683250471898031	-3.061819585245976	5.350323633757204	-33.5821690496678	0.01	1e-05	0.01	0.066817138671875	-0.3663863831128002
2014-02-01_23:34:57_638037	417202.5	18.04	129.0	51.0	-341.0	-2.9236641221374047	-11.969465648854962	4.175572519083969	-0.245361328125	0.0142822265625	0.57861328125	0.0	0.0	-5.89	4.748263750195206	0.16567563678280553	-4.748263750195206	5.032716259306281	-25.212518157049274	0.01	1e-05	0.01	0.06688916015625	-0.29955749190985176
2014-02-01_23:34:57_704747	423873.78125	17.94	62.0	44.0	-120.0	-8.450381679389313	-6.206106870229007	-2.0381679389312977	-0.5203857421875	-0.2313232421875	1.1026611328125	0.0	0.0	-5.07	5.107453536998384	0.178208427669169	-5.107453536998384	4.690414623501697	-5.359440198845292	0.01	1e-05	0.01	0.06702001953125	-0.10462203321220175
2014-02-01_23:34:57_771836	430582.09375	18.13	21.0	89.0	-223.0	-2.7709923664122136	-0.26717557251908397	-1.6870229007633588	-0.0318603515625	0.2469482421875	1.2816162109375	0.0	0.0	-10.43	3.6108609867808634	0.1259895668800022	-3.6108609867808634	4.450103714499136	22.487483714814356	0.01	1e-05	0.01	0.06655224609375	0.18881072831747991
2014-02-01_23:34:57_838599	437258.484375	18.42	118.0	73.0	-209.0	-6.068702290076335	4.0458015267175576	1.0305343511450382	0.09326171875	0.2763671875	0.5970458984375	0.0	0.0	-8.49	1.5265107439774133	0.05326276147862573	-1.5265107439774133	4.347824513186352	31.108798260176837	0.01	1e-05	0.01	0.067001953125	0.29586635340712614
