datetime	reltime	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	angle	error	integral	derivative	Kp	Ki	Kd	pid_output	target_angleRate2	error2	integral2	derivative2	Kp2	Ki2	Kd2	pid_output2	pitch_offset_force	pitch_offset	dt	m1_pos	m2_pos	m1_percent	m2_percent	sleep_time	sensor_time	getch_time	pid_time	motors_time	curses_time
2014-06-12_22:45:07_227082	1549846.0	0.0	0.0	0.0	-1.834	-6.946	-2.68	-0.129	0.363	-0.854	0.0	90.0	-22.598	22.598	1000.0	-6.946	0.08	0.0	0.0	1.818	1.818	0	0	0	0.08	0.0	0.0	0.0	0.0	1.818	20.308	235.0	254.0	0.042	0.09	-0.0102	0.0063	0.0036	0.0002	0.0035	0.0052
2014-06-12_22:45:07_248191	1570958.0	0.0	0.0	0.0	-3.514	-9.58	-0.573	0.201	0.273	-0.998	0.0	-90.0	-23.751	23.751	1000.0	-9.58	0.08	0.0	0.0	1.91	1.91	0	0	0	0.08	0.0	0.0	0.0	0.0	1.91	20.834	235.0	254.0	0.041	0.091	-0.0108	0.0069	0.0036	0.0002	0.0034	0.0054
2014-06-12_22:45:07_268590	1591353.0	0.0	0.0	0.0	-1.475	-0.305	2.297	0.258	-0.012	-1.37	0.0	-90.0	-25.07	25.07	1000.0	-0.305	0.08	0.0	0.0	2.016	2.016	0	0	0	0.08	0.0	0.0	0.0	0.0	2.016	20.182	235.0	255.0	0.04	0.092	-0.0102	0.0062	0.0036	0.0002	0.0035	0.0054
2014-06-12_22:45:07_288814	1611580.0	0.0	0.0	0.0	-0.033	-5.503	1.694	0.232	-0.202	-1.138	0.0	-90.0	-26.26	26.26	1000.0	-5.503	0.08	0.0	0.0	2.111	2.111	0	0	0	0.08	0.0	0.0	0.0	0.0	2.111	20.108	234.0	255.0	0.039	0.093	-0.01	0.0064	0.0033	0.0002	0.0034	0.0054
2014-06-12_22:45:07_309265	1632065.0	0.0	0.0	0.0	-1.888	-11.595	0.304	0.127	-0.229	-1.064	0.0	-89.99	-27.306	27.306	1000.0	-11.595	0.08	0.0	0.0	2.195	2.195	0	0	0	0.08	0.0	0.0	0.0	0.0	2.195	20.056	234.0	255.0	0.038	0.094	-0.0103	0.0064	0.0034	0.0002	0.0036	0.0054
2014-06-12_22:45:07_329447	1652211.0	0.0	0.0	0.0	-0.964	-12.969	-1.245	0.007	-0.12	-1.125	0.0	-89.78	-28.299	28.299	1000.0	-12.969	0.08	0.0	0.0	2.274	2.274	0	0	0	0.08	0.0	0.0	0.0	0.0	2.274	20.207	234.0	256.0	0.037	0.095	-0.0099	0.0063	0.0033	0.0002	0.0035	0.0053
2014-06-12_22:45:07_349870	1672631.0	0.0	0.0	0.0	0.853	-4.999	-2.543	-0.122	0.125	-1.111	0.0	89.99	-25.834	25.834	1000.0	-4.999	0.08	0.0	0.0	2.077	2.077	0	0	0	0.08	0.0	0.0	0.0	0.0	2.077	20.202	234.0	255.0	0.039	0.093	-0.0102	0.0063	0.0035	0.0002	0.0034	0.0055
2014-06-12_22:45:07_369917	1692676.0	0.0	0.0	0.0	2.998	-2.984	-0.665	-0.14	0.323	-0.81	0.0	90.0	-23.459	23.459	1000.0	-2.984	0.08	0.0	0.0	1.887	1.887	0	0	0	0.08	0.0	0.0	0.0	0.0	1.887	20.084	235.0	254.0	0.041	0.091	-0.0098	0.0063	0.0033	0.0002	0.0034	0.0053
2014-06-12_22:45:07_390324	1713089.0	0.0	0.0	0.0	2.639	-15.793	-0.215	-0.051	0.451	-0.908	0.0	89.98	-20.879	20.879	1000.0	-15.793	0.08	0.0	0.0	1.68	1.68	0	0	0	0.08	0.0	0.0	0.0	0.0	1.68	20.087	236.0	253.0	0.043	0.088	-0.0102	0.0063	0.0035	0.0002	0.0035	0.0054
2014-06-12_22:45:07_410676	1733474.0	0.0	0.0	0.0	-0.414	-11.915	0.518	0.045	0.5	-1.044	0.0	-89.97	-22.025	22.025	1000.0	-11.915	0.08	0.0	0.0	1.772	1.772	0	0	0	0.08	0.0	0.0	0.0	0.0	1.772	20.244	236.0	253.0	0.042	0.089	-0.0103	0.0064	0.0035	0.0002	0.0035	0.0053
