datetime	x	y	z	d	speed	speed_real
2013-12-28_12:42:40_884413	276.0	270.0	-207.0	14.21	11.6	264
2013-12-28_12:42:40_894738	255.0	136.0	145.0	22.22	11.7	264
2013-12-28_12:42:40_904921	194.0	115.0	-173.0	19.82	11.8	264
2013-12-28_12:42:40_914895	-19.0	142.0	-449.0	15.67	11.9	265
2013-12-28_12:42:40_924739	174.0	194.0	-388.0	13.68	12.0	265
2013-12-28_12:42:40_934615	68.0	206.0	-45.0	14.33	12.1	265
2013-12-28_12:42:40_944383	38.0	121.0	65.0	12.87	12.2	266
2013-12-28_12:42:40_954691	-185.0	64.0	-274.0	21.32	12.3	266
2013-12-28_12:42:40_965069	-220.0	124.0	105.0	22.68	12.4	267
2013-12-28_12:42:40_975329	-103.0	76.0	-217.0	20.14	12.5	267
2013-12-28_12:42:40_985320	-133.0	157.0	-409.0	15.45	12.6	267
2013-12-28_12:42:40_995223	-22.0	256.0	-392.0	14.6	12.7	268
2013-12-28_12:42:41_005429	148.0	341.0	-80.0	18.94	12.8	268
2013-12-28_12:42:41_015697	-206.0	118.0	112.0	21.29	12.9	269
2013-12-28_12:42:41_025520	129.0	114.0	-69.0	13.94	13.0	269
2013-12-28_12:42:41_035413	-203.0	97.0	-370.0	13.26	13.1	269
2013-12-28_12:42:41_045728	229.0	229.0	-512.0	20.54	13.2	270
2013-12-28_12:42:41_055509	248.0	173.0	-290.0	13.02	13.3	270
2013-12-28_12:42:41_065366	63.0	264.0	18.0	14.36	13.4	270
2013-12-28_12:42:41_075671	-182.0	80.0	86.0	22.37	13.5	271
2013-12-28_12:42:41_085902	-21.0	62.0	-136.0	20.81	13.6	271
2013-12-28_12:42:41_095701	89.0	203.0	-344.0	13.74	13.7	272
2013-12-28_12:42:41_105634	141.0	123.0	-512.0	15.59	13.8	272
2013-12-28_12:42:41_115569	199.0	165.0	-325.0	15.54	13.9	272
2013-12-28_12:42:41_125430	287.0	259.0	-110.0	13.6	14.0	273
2013-12-28_12:42:41_135182	40.0	214.0	138.0	12.63	14.1	273
2013-12-28_12:42:41_145372	264.0	248.0	-416.0	20.28	14.2	273
2013-12-28_12:42:41_155340	122.0	272.0	-76.0	15.15	14.3	274
2013-12-28_12:42:41_165488	-14.0	201.0	75.0	15.67	14.4	274
2013-12-28_12:42:41_175346	-429.0	66.0	81.0	13.77	14.5	275
2013-12-28_12:42:41_185517	-36.0	149.0	-119.0	20.03	14.6	275
2013-12-28_12:42:41_195368	-99.0	50.0	-292.0	13.23	14.7	275
2013-12-28_12:42:41_205151	207.0	172.0	-512.0	13.06	14.8	276
2013-12-28_12:42:41_214946	188.0	227.0	-445.0	13.29	14.9	276
2013-12-28_12:42:41_224772	87.0	239.0	-271.0	13.44	15.0	276
2013-12-28_12:42:41_234765	184.0	351.0	-22.0	14.69	15.1	277
2013-12-28_12:42:41_244610	-39.0	199.0	14.0	14.42	15.2	277
2013-12-28_12:42:41_254437	-186.0	172.0	62.0	14.01	15.3	278
2013-12-28_12:42:41_264638	-126.0	77.0	-175.0	20.59	15.4	278
2013-12-28_12:42:41_274439	-373.0	36.0	-327.0	13.4	15.5	278
2013-12-28_12:42:41_284378	144.0	232.0	-512.0	12.72	15.6	279
2013-12-28_12:42:41_294254	112.0	111.0	-512.0	14.09	15.7	279
2013-12-28_12:42:41_304066	230.0	304.0	-455.0	13.16	15.8	280
2013-12-28_12:42:41_313830	118.0	254.0	-196.0	12.77	15.9	280
2013-12-28_12:42:41_323701	-68.0	224.0	56.0	13.01	16.0	280
2013-12-28_12:42:41_333933	-106.0	68.0	123.0	13.09	16.1	281
2013-12-28_12:42:41_343934	-182.0	33.0	69.0	16.12	16.2	281
2013-12-28_12:42:41_353827	-162.0	85.0	3.0	15.49	16.3	281
2013-12-28_12:42:41_363916	95.0	185.0	-274.0	19.07	16.4	282
2013-12-28_12:42:41_373761	-73.0	134.0	-384.0	13.45	16.5	282
2013-12-28_12:42:41_383582	274.0	187.0	-512.0	13.46	16.6	283
2013-12-28_12:42:41_393357	175.0	145.0	-512.0	13.06	16.7	283
2013-12-28_12:42:41_403201	234.0	222.0	-470.0	13.98	16.8	283
2013-12-28_12:42:41_413019	133.0	120.0	-243.0	13.58	16.9	284
2013-12-28_12:42:41_422823	159.0	182.0	-224.0	12.7	17.0	284
2013-12-28_12:42:41_432640	16.0	157.0	-30.0	13.51	17.1	284
2013-12-28_12:42:41_442444	194.0	252.0	131.0	13.53	17.2	285
2013-12-28_12:42:41_452441	219.0	130.0	-512.0	13.61	17.3	285
2013-12-28_12:42:41_462325	398.0	165.0	-512.0	14.03	17.4	286
2013-12-28_12:42:41_472152	19.0	344.0	-380.0	12.82	17.5	286
2013-12-28_12:42:41_481960	100.0	302.0	-341.0	12.51	17.6	286
2013-12-28_12:42:41_491813	-138.0	127.0	-124.0	13.6	17.7	287
2013-12-28_12:42:41_501601	-18.0	204.0	-87.0	13.16	17.8	287
2013-12-28_12:42:41_511384	43.0	242.0	45.0	13.48	17.9	288
2013-12-28_12:42:41_521091	102.0	205.0	253.0	12.21	18.0	288
2013-12-28_12:42:41_530950	-75.0	161.0	285.0	13.85	18.1	288
2013-12-28_12:42:41_540740	-218.0	226.0	186.0	12.95	18.2	289
2013-12-28_12:42:41_550612	-302.0	165.0	-48.0	13.57	18.3	289
2013-12-28_12:42:41_560380	-187.0	68.0	4.0	13.87	18.4	289
2013-12-28_12:42:41_570624	-78.0	128.0	-50.0	19.99	18.5	290
2013-12-28_12:42:41_580851	1.0	210.0	-103.0	20.71	18.6	290
2013-12-28_12:42:41_590759	-30.0	176.0	-108.0	14.64	18.7	291
2013-12-28_12:42:41_600557	-112.0	253.0	-193.0	13.58	18.8	291
2013-12-28_12:42:41_610764	64.0	241.0	-461.0	19.75	18.9	291
2013-12-28_12:42:41_620733	21.0	150.0	-512.0	15.79	19.0	292
2013-12-28_12:42:41_630672	210.0	36.0	-512.0	15.76	19.1	292
2013-12-28_12:42:41_640432	511.0	-77.0	-512.0	14.06	19.2	292
2013-12-28_12:42:41_650727	393.0	185.0	-512.0	21.25	19.3	293
2013-12-28_12:42:41_660665	403.0	36.0	-512.0	15.33	19.4	293
2013-12-28_12:42:41_670574	315.0	93.0	-512.0	14.35	19.5	294
2013-12-28_12:42:41_680414	101.0	258.0	-495.0	14.19	19.6	294
2013-12-28_12:42:41_690638	-122.0	162.0	-318.0	20.25	19.7	294
2013-12-28_12:42:41_700490	-64.0	281.0	-242.0	12.73	19.8	295
2013-12-28_12:42:41_710769	-24.0	180.0	-166.0	21.76	19.9	295
2013-12-28_12:42:41_720582	-170.0	111.0	-351.0	13.7	20.0	296
2013-12-28_12:42:41_730783	-189.0	246.0	-476.0	20.53	20.1	296
2013-12-28_12:42:41_740623	-84.0	179.0	-512.0	13.84	20.2	296
2013-12-28_12:42:41_750461	172.0	162.0	-512.0	13.94	20.3	297
2013-12-28_12:42:41_760578	259.0	-18.0	-512.0	20.16	20.4	297
2013-12-28_12:42:41_770477	475.0	-63.0	-512.0	15.39	20.5	297
2013-12-28_12:42:41_780508	483.0	8.0	-512.0	14.23	20.6	298
2013-12-28_12:42:41_790371	364.0	165.0	-512.0	14.62	20.7	298
2013-12-28_12:42:41_800589	511.0	32.0	-512.0	20.5	20.8	299
2013-12-28_12:42:41_810674	511.0	224.0	-512.0	18.34	20.9	299
2013-12-28_12:42:41_820862	284.0	-2.0	-512.0	19.14	21.0	299
2013-12-28_12:42:41_830637	369.0	197.0	-512.0	13.46	21.1	300
2013-12-28_12:42:41_840398	205.0	87.0	-512.0	12.7	21.2	300
2013-12-28_12:42:41_850212	92.0	268.0	-441.0	13.53	21.3	300
2013-12-28_12:42:41_860021	26.0	248.0	-389.0	12.63	21.4	301
2013-12-28_12:42:41_869863	23.0	245.0	-512.0	14.04	21.5	301
2013-12-28_12:42:41_880063	20.0	257.0	-512.0	20.31	21.6	302
2013-12-28_12:42:41_889883	-78.0	342.0	-512.0	13.94	21.7	302
2013-12-28_12:42:41_899881	-99.0	175.0	-512.0	16.03	21.8	302
2013-12-28_12:42:41_909797	-25.0	154.0	-442.0	15.1	21.9	303
2013-12-28_12:42:41_920009	-110.0	158.0	-206.0	19.96	22.0	303
2013-12-28_12:42:41_929820	-512.0	375.0	108.0	14.06	22.1	303
