datetime	reltime	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	asin	angle	angle_rad	error	integral	derivative	Kp	Ki	Kd	dt	diff_speed	Motor0	Motor1
2014-03-08_09:48:51_546854	1533658.0	-26.0	42.0	-255.0	-0.43625954198473194	-86.66736641221374	3.2790076335877862	0.070654296875	-0.809326171875	-0.862060546875	0.0	5.82	0.0	28.494113902780583	0.4972794747431167	-28.494113902780583	-6011.550466889268	-86.66736641221374	0.005	0	0.0	50.009033203125	-0.1424705695139029	229	233
2014-03-08_09:48:51_596830	1583644.0	-38.0	-85.0	-271.0	-0.527862595419847	-79.46125954198473	4.935496183206107	-0.026025390625000006	-0.58056640625	-0.7646484375	0.0	7.98	0.0	31.980604056389563	0.5581257252424008	-31.980604056389563	-7611.861143113348	-79.46125954198473	0.005	0	0.0	50.0400390625	-0.1599030202819478	228	234
2014-03-08_09:48:51_647147	1633961.0	-95.0	145.0	-237.0	-0.6729007633587778	-61.346755725190846	4.011832061068702	-0.06875	-0.382080078125	-0.888427734375	0.0	21.84	0.0	34.79578037542479	0.6072562020143943	-34.79578037542479	-9358.539658438413	-61.346755725190846	0.005	0	0.0	50.197998046875	-0.17397890187712395	227	234
2014-03-08_09:48:51_698301	1685118.0	-51.0	-102.0	-265.0	1.0980916030534358	-56.56049618320611	3.88206106870229	-0.179833984375	-0.31494140625	-0.907470703125	0.0	10.89	0.0	37.1447535973139	0.6482504990805219	-37.1447535973139	-11252.994640248291	-56.56049618320611	0.005	0	0.0	51.001953125	-0.1857237679865695	227	235
2014-03-08_09:48:51_747412	1734228.0	-126.0	54.0	-241.0	3.4034351145038175	-46.58339694656489	3.88206106870229	-0.225	-0.318603515625	-1.0859375	0.0	27.6	0.0	39.19191236904933	0.6839775282556602	-39.19191236904933	-13174.297770101897	-46.58339694656489	0.005	0	0.0	49.02294921875	-0.19595956184524663	226	236
2014-03-08_09:48:51_805561	1792680.0	-65.0	-11.0	-253.0	0.6858778625954205	-33.91927480916031	1.248473282442748	-0.115380859375	-0.451904296875	-0.955322265625	0.0	14.41	0.0	40.35894550356194	0.7043445986660025	-40.35894550356194	-15193.013599418002	-33.91927480916031	0.005	0	0.0	50.01904296875	-0.20179472751780972	225	237
2014-03-08_09:48:51_847927	1834798.0	-132.0	-17.0	-227.0	2.426335877862596	-29.155916030534353	0.37824427480916023	-0.137353515625	-0.748779296875	-1.03173828125	0.0	30.18	0.0	41.586583137257804	0.7257693392191589	-41.586583137257804	-17276.089203834028	-29.155916030534353	0.005	0	0.0	50.090087890625	-0.20793291568628902	224	237
2014-03-08_09:48:51_899691	1886503.0	-163.0	124.0	-218.0	-0.9629770992366402	-15.972709923664123	-1.1103053435114503	-0.16982421875	-0.84375	-0.931884765625	0.0	36.79	0.0	42.30048841615313	0.7382284191300721	-42.30048841615313	-19464.633443253646	-15.972709923664123	0.005	0	0.0	51.738037109375	-0.21150244208076566	224	238
2014-03-08_09:48:51_948371	1935184.0	-90.0	-96.0	-254.0	3.1896946564885504	7.470038167938931	0.02709923664122127	-0.37978515625	-0.79248046875	-0.9462890625	0.0	19.51	0.0	41.48992804532917	0.7240825138800903	-41.48992804532917	-21475.44645254623	7.470038167938931	0.005	0	0.0	48.465087890625	-0.20744964022664586	223	239
2014-03-08_09:48:51_998397	1985212.0	-127.0	37.0	-244.0	-0.14618320610686952	21.01202290076336	0.5538167938931298	-0.56337890625	-0.237548828125	-0.916259765625	0.0	27.5	0.0	40.178783638578196	0.7012004125406317	-40.178783638578196	-23487.760024507286	21.01202290076336	0.005	0	0.0	50.083984375	-0.20089391819289099	222	240
2014-03-08_09:48:52_048926	2035769.0	-138.0	28.0	-252.0	1.52557251908397	28.271564885496183	1.164503816793893	-0.60048828125	0.4189453125	-1.025390625	0.0	28.71	0.0	38.562094247598026	0.672985938003456	-38.562094247598026	-25418.604377860345	28.271564885496183	0.005	0	0.0	50.071044921875	-0.19281047123799014	221	241
